phylum,class,order,family,genus
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SGZJ01
Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium
Chlamydiota,Chlamydiia,Chlamydiales,JAUIKQ01,JAUIKQ01
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter_C
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873
Desulfobacterota_E,Deferrimicrobia,Deferrimicrobiales,Deferrimicrobiaceae,UBA2219
Chloroflexota,Limnocylindria,QHBO01,QHBO01,JACDBZ01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,JAILFQ01
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Opacimonas
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Kineothrix
Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Crickella
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466
Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,JAUZRG01
Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum
Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,JABGUH01
Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter_C
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Weimeria
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Balneatricaceae,ASP10-02a
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina
Bacillota,Clostridia,Christensenellales,UBA3700,RACS-045
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,UBA3282
Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,UBA3855
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Fournierella
Pseudomonadota,Alphaproteobacteria,UBA8366,GCA-2696645,Pacificispira
Bacillota,Clostridia,Christensenellales,Borkfalkiaceae,Gallimonas
Bacillota,Bacilli,RFN20,CAG-826,JAQWCH01
Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides
Bacillota,Clostridia,Christensenellales,Borkfalkiaceae,Scatosoma
Patescibacteriota,Minisyncoccia,UBA6257,2-01-FULL-56-20,JANWIW01
Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11
Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,UBA8904
Bacillota,Clostridia,Christensenellales,CAG-314,Fimimonas
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,UBA4810
Spirochaetota,Spirochaetia,Treponematales,Breznakiellaceae,JAIRKH01
Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Chloroflexota,Anaerolineae,B4-G1,B4-G1,SKLM01
Bacteroidota,Bacteroidia,Bacteroidales,P3,Phil12
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Laedolimicola
Chrysiogenota,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum
Patescibacteriota,Patescibacteriia,Patescibacteriales,Patescibacteriaceae,JAKAEX01
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
Actinomycetota,Actinomycetes,Nanopelagicales,Nanopelagicaceae,QYPT01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,RUG306
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Denitrificimonas
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D
Chlamydiota,Chlamydiia,Chlamydiales,FEN-1388,SZAS-6
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,WM01
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Yersinia
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Massilioclostridium
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,COE1
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Chloroflexota,Anaerolineae,J036,Brachytrichaceae,DAORUN01
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Avimuribaculum
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F
Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,AG-414-E02
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum
Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,JAQGHR01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Hydrogenophaga
Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,JAKABX01
Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781
Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cecembia
Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Thermobacillus
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G
Spirochaetota,Leptospiria,Leptospirales,Leptospiraceae,Leptospira
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_F
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Bacillota,Bacilli,Exiguobacteriales,Exiguobacteriaceae,Exiguobacterium
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Bacillota,Bacilli,Bacillales_H,Bacillaceae_D,Shouchella
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Mannheimia
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,RGIG8773
Bacillota,Bacilli,Bacillales_A,Planococcaceae,Ureibacillus
Bacillota,Bacilli,Mycoplasmatales,Mycoplasmoidaceae,Mycoplasmoides
Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Coleofasciculus
JAAXVQ01,JAAXVQ01,JAAXVQ01,JAAXVQ01,JBFLYH01
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,JAJXWB01
Patescibacteriota,Patescibacteriia,UBA2196,S139-112,S139-112
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Parasutterella
Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Nitratidesulfovibrio
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,UBA7748
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes
Spirochaetota,Brachyspiria,Brachyspirales,Brachyspiraceae,Brachyspira
Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Culturomica
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PBB1
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,MGBC164599
Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Microcystaceae,Microcystis
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Enterenecus
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Cohaesibacter
Patescibacteriota,Saccharimonadia,Saccharimonadales,Nanosyncoccaceae,Nanosyncoccus
Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,S141-43
Patescibacteriota,Minisyncoccia,UBA6257,JAAZHW01,JAAZHW01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAG-590
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter
Pseudomonadota,Gammaproteobacteria,UBA6186,UBA6186,CADEGZ01
Pseudomonadota,Gammaproteobacteria,SAR86,D2472,SAR86A
Pseudomonadota,Gammaproteobacteria,SZUA-140,SZUA-140,SZUA-76
Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Colicola
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Gallintestinimicrobium
Myxococcota,Myxococcia,Myxococcales,JAKAPL01,JAJXUD01
Bdellovibrionota,UBA1018,UBA1018,UBA1018,CAIOHW01
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eutrophosalina
Patescibacteriota,Minisyncoccia,Minisyncoccales,RBG-13-42-11,JAQUAA01
Bacteroidota,Bacteroidia,Bacteroidales,UBA11471,Caccoplasma
Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,HGM16780
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Pseudomonadota,Alphaproteobacteria,Rs-D84,Rs-D84,Enterousia
Chloroflexota,UBA11872,VXOZ01,VXOZ01,VXOZ01
Bacillota,Clostridia,Oscillospirales,CAG-272,UMGS1312
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys
Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella
Pseudomonadota,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,UBA7957
Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,S145-25
Myxococcota,Polyangia,HGW-17,JALWFW01,JALWFW01
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio
Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Taylorella
Bacillota,Bacilli,Mycoplasmatales,Mycoplasmataceae,Spiroplasma
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella
Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas
Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Ornithinimicrobium_A
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor_A
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia_E
Chloroflexota,Anaerolineae,Aggregatilineales,Phototrophicaceae,UBA6055
Bacillota,Clostridia,Oscillospirales,QAKW01,QAKW01
Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium_F
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Bordetella
Patescibacteriota,Gracilibacteria,Peribacterales,Peribacteraceae,Peribacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium
Bacillota,Bacilli,RF39,UBA660,CAG-302
Bacteroidota,Bacteroidia,Cytophagales,Spirosomataceae,JBEBSO01
Pseudomonadota,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter
Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Vreelandella
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Aquitalea
Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Planosporangium
Synergistota,Synergistia,Synergistales,Synergistaceae,Syner-03
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Bovifimicola
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145
Bacillota,Clostridia,Christensenellales,Borkfalkiaceae,Coproplasma
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Hominicoprocola
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B
Bacillota,Bacilli,Bacillales_B,DSM-18226,Mesobacillus
Bacillota,Clostridia,Clostridiales,Clostridiaceae,Sarcina
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Rhodococcus_F
Actinomycetota,Actinomycetes,Actinomycetales,Brevibacteriaceae,Brevibacterium
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Kingella
Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Arenivirga
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,12-FULL-67-14b
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAJJNI01
Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Minthosoma
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Corynebacterium
Bacillota,Clostridia,Christensenellales,CAG-138,UBA3857
Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Bacteroidota_A,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium
Desulfobacterota_I,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Taurinivorans
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Eubacterium_T
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,SFTJ01
Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus_A
Actinomycetota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,MedAcidi-G1
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella
Patescibacteriota,Minisyncoccia,Minisyncoccales,GWA2-46-15,GWA2-46-15
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella
Verrucomicrobiota,Verrucomicrobiia,Opitutales,UBA953,UBA953
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Wujia
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Azotimanducaceae,VXYL01
Patescibacteriota,Minisyncoccia,UBA9973,GWA1-40-21,Bog-1340
BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3Abin14,BMS3ABIN14
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Lepagella
Vulcanimicrobiota,Vulcanimicrobiia,Vulcanimicrobiales,Vulcanimicrobiaceae,JABEUX01
Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,SCTT01
Edwardsbacteria,AC1,AC1,EtOH8,UBA2226
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Hominiventricola
Bacillota,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS1474
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Phreatobacteraceae,Phreatobacter
Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Fimiplasma
Patescibacteriota,CALEFQ01,CALEFQ01,CALEFQ01,CALEFQ01
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Balneatricaceae,Rs1
Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,DFXE01
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,CAIYYX01
Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAJZBZ01
Verrucomicrobiota,Verrucomicrobiia,Limisphaerales,SXTU01,SXTU01
Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia
Patescibacteriota,Saccharimonadia,Saccharimonadales,UBA4665,JBBTTE01
Bacillota,Clostridia,Christensenellales,CAG-138,PeH17
Bacillota,Bacilli,Bacillales_A,Planococcaceae,Solibacillus
Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,Desulfoferula
Bacillota,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor
Pseudomonadota,Gammaproteobacteria,Burkholderiales,SG8-39,JBFKUL01
Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Taklimakanibacter
Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,UBA969
Bacillota,Clostridia,UBA1381,UBA1381,CAKSFT01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Catenibacillus
Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,GWF1-51-8
Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Limenecus
Aquificota,Aquificia,Aquificales,QOAS01,QOAS01
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Otoolea
Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Cloacimonas
Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2
Bacillota,Dehalobacteriia,UBA4068,UBA4997,Avidehalobacter
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,JAIOIW01
Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aurantimonas
Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter
Patescibacteriota,Minisyncoccia,UBA9973,UBA2103,C7867-001
Actinomycetota,Actinomycetes,Actinomycetales,Micrococcaceae,Arthrobacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,1XD8-76
Actinomycetota,Acidimicrobiia,Acidimicrobiales,CADCSY01,JACOTK01
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Cobetia
Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinocatenispora
Bacillota,Clostridia,Oscillospirales,Butyricicoccaceae,Intestinibacillus
Bacillota,Bacilli,Bacillales_H,Marinococcaceae,Salicibibacter
Bacteroidota,Bacteroidia,Flavobacteriales_B,Blattabacteriaceae,Karelsulcia
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Varibaculum
Planctomycetota,Phycisphaerae,UBA1845,UBA1845,JAZGDL01
Nitrospirota,UBA9217,UBA9217,UBA9217,JAAXXJ01
Bacillota,Clostridia,Christensenellales,Aristaeellaceae,UBA11524
Spirochaetota,Spirochaetia,Sphaerochaetales,Sphaerochaetaceae,Ornithospirochaeta
Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Dietzia
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pectobacterium
Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus
Bacteroidota_A,UBA10030,UBA10030,SZUA-254,SZUA-254
Babelota,Babeliae,Babelales,CAIQNR01,CANNBR01
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Modicisalibacter
Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Pauljensenia
Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,DATMYN01
Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Mammaliicoccus
Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella
Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus_A
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Pasteurella
Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_A
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus
Bacillota,Bacilli,Lactobacillales,Listeriaceae,Listeria
Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus
Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Caccovicinus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,VSOB01
Patescibacteriota,Gracilibacteria,UBA1369,UBA1369,JAGOLJ01
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Firm-04
Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,RUG11872
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Enterovibrio
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,Zhongshania
Planctomycetota,Uabimicrobiia,Uabimicrobiales,JABWCH01,JAKLHB01
Bacillota,Bacilli,Acholeplasmatales,Acholeplasmataceae,Phytoplasma
Bacillota,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger
Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,UBA10450,Palsa-1392
Omnitrophota,Koll11,Gygaellales,Profunditerraquicolaceae,UBA6249
Bacillota,Clostridia,Oscillospirales,CAG-272,UBA1740
Cloacimonadota,Cloacimonadia,Cloacimonadales,TCS61,SDB
Bacillota,Bacilli,RF39,UBA660,UMGS995
Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,QHXW01
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA3263
Bacillota,Clostridia,Oscillospirales,CAG-272,QALR01
Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,Hominenteromicrobium
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,CAG-791
Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA1511
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,UBA6136
Bacillota,Clostridia,TANB77,CAG-508,CAG-269
Marinisomatota,Marinisomatia,Marinisomatales,UBA1611,GCA-2722105
Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus
Verrucomicrobiota,Verrucomicrobiia,Opitutales,Opitutaceae,ER46
Bacillota,Bacilli,Acholeplasmatales,Anaeroplasmataceae,Pelethenecus
