phylum,class,order,family,genus
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Naumannella
Actinomycetota,Actinomycetes,Actinopolysporales,Actinopolysporaceae,Actinopolyspora
Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Allostreptomyces
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Costertonia
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas
Pseudomonadota,NA,Chromatiales,NA,NA
Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Donghicola
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Vespertiliibacter
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bisgaardia
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfolutivibrio
Pseudomonadota,Gammaproteobacteria,NA,Candidatus Azoamicaceae,Candidatus Azoamicus
Thermodesulfobacteriota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfosediminicola
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Actirhodobacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Paenalkalicoccus
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Prosthecochloris
Pseudomonadota,Gammaproteobacteria,NA,NA,Candidatus Reidiella
Pseudomonadota,Gammaproteobacteria,NA,Candidatus Pseudothioglobaceae,Candidatus Ruthturnera
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Fertoeibacter
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Alteripontixanthobacter
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinifaba
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Parasulfitobacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Calidifontibacillus
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Frigoriflavimonas
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Paramixta
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Aquiluna
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter
Actinomycetota,NA,Candidatus Hakubellales,Candidatus Hakubellaceae,Candidatus Hakubella
Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Hongsoonwoonella
Bacteroidota,Bacteroidia,Bacteroidales,Tenuifilaceae,Tenuifilum
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Berryella
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Lichenicola
Pseudomonadota,Betaproteobacteria,Ferrovales,Ferrovaceae,Ferrovum
Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Xylanibacter
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Palleniella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Alterinioella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pelistega
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Limnovirga
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Halovulum
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Oceanidesulfovibrio
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Enterovirga
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Alienimonas
Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Usitatibacteraceae,Usitatibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pararobbsia
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pseudopontixanthobacter
NA,Deltaproteobacteria,NA,Dissulfurirhabdaceae,Dissulfurirhabdus
Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tautonia
Pseudomonadota,Gammaproteobacteria,NA,Candidatus Competibacteraceae,Candidatus Competibacter
Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus
Bacteroidota,Cytophagia,Cytophagales,Flammeovirgaceae,Marinigracilibium
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pacificispira
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aerophototrophica
Cyanobacteriota,Cyanophyceae,Nostocales,Scytonemataceae,Brasilonema
Pseudomonadota,Hydrogenophilia,Hydrogenophilales,Hydrogenophilaceae,Tepidiphilus
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Pyruvatibacter
Pseudomonadota,NA,Enterobacterales,Enterobacteriaceae,NA
Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Oxynema
Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Gephyromycinifex
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Marichromatium
Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Candidatus Pelagibacter
Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella
Nitrospirota,Nitrospiria,Candidatus Troglogloeales,Candidatus Manganitrophaceae,Candidatus Manganitrophus
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Falsiroseicyclus
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Glaciimonas
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Saonia
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfobaculum
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfurimicrobium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Parvibaculaceae,Parvibaculum
Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium
Bacteroidota,Cytophagia,Cytophagales,Thermonemataceae,Thermonema
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frigoribacterium
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Lysinibacter
Pseudomonadota,Gammaproteobacteria,Orbales,Orbaceae,Zophobihabitans
Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Fibrivirga
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Thalassoroseus
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ferranicluibacter
Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Basfia
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Frederiksenia
Actinomycetota,Actinomycetes,Micrococcales,Dermacoccaceae,Metallococcus
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiosulfatimonas
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiosulfativibrio
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Cochlodiniinecator
Actinomycetota,Actinomycetes,Jiangellales,Jiangellaceae,Phytoactinopolyspora
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pelagihabitans
Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Caldichromatium
Actinomycetota,Actinomycetes,Motilibacterales,Motilibacteraceae,Motilibacter
Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfuriphilus
Bacteroidota,Bacteroidia,Bacteroidales,Tenuifilaceae,Perlabentimonas
Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae,Candidatus Kuenenia
Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Aquisphaera
Balneolota,Balneolia,Balneolales,Balneolaceae,Halalkalibaculum
Bacillota,Bacilli,Bacillales,Bacillaceae,Litoribacterium
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingosinithalassobacter
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Marisediminicola
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Allomesorhizobium
Verrucomicrobiota,Verrucomicrobiia,Limisphaerales,Limisphaeraceae,Limisphaera
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Rasiella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pikeienuella
Cyanobacteriota,NA,NA,NA,Adonisia
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Sandarakinorhabdus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Falsiruegeria
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudotabrizicola
Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Mangrovibacterium
Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Hassallia
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Galbitalea
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Diaminobutyricibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorpha
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongiivirga
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Aminipila
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Kineobactrum
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacterium
Verrucomicrobiota,Opitutia,Puniceicoccales,Oceanipulchritudinaceae,Oceanipulchritudo
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sheuella
Pseudomonadota,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Wenzhouxiangella
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Candidatus Laterigemmans
Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Tuwongella
Bacillota,Clostridia,Eubacteriales,NA,Anaerotalea
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Acerihabitans
Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Myxacorys
Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Goekera
Cyanobacteriota,Cyanophyceae,Synechococcales,Petrachlorosaceae,Petrachloros
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Sediminibacterium
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula
Thermotogota,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,Athalassotoga
Bacillota,Clostridia,Eubacteriales,Desulfallaceae,Sporotomaculum
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Algicella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Stagnihabitans
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Parablautia
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Aequoribacter
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Isachenkonia
Bacteroidota,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Acidiluteibacter
Pseudomonadota,Betaproteobacteria,Burkholderiales,NA,Xylophilus
Kiritimatiellota,Tichowtungiia,Tichowtungiales,Tichowtungiaceae,Tichowtungia
Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Poritiphilus
Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Herbidospora
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Rhodovarius
Bacillota,Clostridia,Eubacteriales,Heliobacteriaceae,Heliomicrobium
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Propylenellaceae,Propylenella
Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Schauerella
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Ornithinibacter
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio
Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Trichormus
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Neorickettsia
Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Sunxiuqinia
Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Puerhibacterium
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Sodalinema
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Profundibacterium
Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Hufsiella
Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Epidermidibacterium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Oceanomicrobium
Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas
Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Craterilacuibacter
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Copranaerobaculum
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sporofaciens
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Kangsaoukella
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Allopontixanthobacter
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altericroceibacterium
Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Parapontixanthobacter
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Nitrincola
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Pseudofrancisella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Litoreibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Starkeya
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Cognatazoarcus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Budvicia
Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Lunatibacter
Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Dehalobacter
Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,Pigmentibacter
Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Terricaulis
Spirochaetota,Spirochaetia,Spirochaetales,Rectinemataceae,Rectinema
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Antarcticirhabdus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Chachezhania
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Caedibacter
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Ursidibacter
Pseudomonadota,Betaproteobacteria,NA,Casimicrobiaceae,Casimicrobium
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Auraticoccus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Phnomibacter
Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Candidatus Syntrophocurvum
Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Pseudactinotalea
Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Oceanivirga
Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella
Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Sansalvadorimonas
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Kiloniellaceae,Curvivirga
Bacteroidota,Cytophagia,Cytophagales,Fulvivirgaceae,Xanthovirga
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Intestinirhabdus
Pseudomonadota,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Piscirickettsia
Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Inconstantimicrobium
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Porcincola
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Floccifex
Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Stecheria
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Oliverpabstia
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Velocimicrobium
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Bilifractor
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Hornefia
Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Baileyella
Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Bullifex
Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio
Lentisphaerota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis
Pseudomonadota,NA,Rickettsiales,NA,NA
Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter
Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Allosaccharopolyspora
Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thermochromatium
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Foetidibacter
Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Litorivicinaceae,Litorivicinus
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus
Bacillota,Clostridia,Eubacteriales,Heliobacteriaceae,Heliorestis
Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Raineyella
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Roseimaritima
Bacteroidota,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Prolixibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Endobacterium
Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Ornithinicoccus
Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Cumulibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Segnochrobactraceae,Segnochrobactrum
Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,Silvanigrella
Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Candidatus Methylospira
Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ostreibacteriaceae,Ostreibacterium
Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Alkalibaculum
Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Salmonirosea
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavicella
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Agriterribacter
Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Rudanella
Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Lacipirellula
Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Arthrospira
Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Pseudoprevotella
Chloroflexota,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora
Bacteroidota,Flavobacteriia,Flavobacteriales,Phaeocystidibacteraceae,Phaeocystidibacter
Pseudomonadota,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella
Actinomycetota,Actinomycetes,Micrococcales,Ornithinimicrobiaceae,Serinicoccus
Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Lacisediminimonas
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Ellagibacter
Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Candidatus Galacturonibacter
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudotamlana
Bacteroidota,Flavobacteriia,Flavobacteriales,Salibacteraceae,Salibacter
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Rhizosphaericola
Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Oryzomonas
Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Heminiphilus
Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Dongiaceae,Hypericibacter
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Terribium
Pseudomonadota,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Marinihelvus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Ginsengibacter
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Histidinibacterium
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Affinibrenneria
Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus
Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Ewingella
Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Planctomonas
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhabdaerophilaceae,Rhabdaerophilum
Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Alkalicaulis
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Blastochloridaceae,Blastochloris
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Roseiconus
Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella
Verrucomicrobiota,NA,NA,NA,Methylacidimicrobium
Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Zafaria
Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Solihabitans
Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Thermoclostridium
Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Propionispora
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Neomesorhizobium
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseivivax
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rubripirellula
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohalioglobus
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pukyongiella
Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aquicoccus
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pareuzebyella
Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter
Bacillota,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Oceanispirochaeta
Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Thiospirochaeta
Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Formicincola
Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Oryzomicrobium
Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Calorimonas
Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Limnoglobus
Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Sneabacter
Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptacetobacter
Bacillota,Clostridia,Thermosediminibacterales,Thermosediminibacteraceae,Thermosediminibacter
Bacillota,Clostridia,Eubacteriales,Desulfallaceae,Desulfallas
Thermodesulfobacteriota,Desulfuromonadia,Desulfuromonadales,Geothermobacteraceae,Geothermobacter
Bacillota,Clostridia,Eubacteriales,NA,Evtepia
Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus
Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola
Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Aidingimonas
Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula
Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Halieaceae,Parahaliea
Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Quadrisphaera
Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,Vineibacter
Bacillota,Bacilli,Bacillales,Bacillaceae,Cerasibacillus
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Vulcaniibacterium
Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Alkalisalibacterium
Pseudomonadota,Hydrogenophilia,NA,NA,Pelomicrobium
Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Salidesulfovibrio
Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Arabiibacter
Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Malaciobacter
