accession_number,species_name,genus,resistance_status,mean_alig_score,mean_core_dist,n_pairs
GCF_000015585.1,Halorhodospira halophila,Halorhodospira,2,3046.0439453125,0,1
GCF_000015865.1,Acetivibrio thermocellus,Acetivibrio,0,3013.6683756510415,0,6
GCF_001857925.1,Bacillus xiamenensis,Bacillus,0,3065.79150390625,0,28
GCF_000016065.1,Shewanella loihica,Shewanella,6,3008.0868094308034,0,28
GCF_000016165.1,Desulforamulus reducens,Desulforamulus,0,3175.2381678989955,0,28
GCF_001857945.1,Paenibacillus crassostreae,Paenibacillus,10,3069.9436957465277,0,45
GCF_000016185.1,Rhodospirillum centenum,Rhodospirillum,0,2938.9404296875,0,6
GCF_000016285.1,Allorhizobium ampelinum,Allorhizobium,0,2934.97705078125,0,6
GCF_001857965.1,Flavobacterium commune,Flavobacterium,5,3000.372802734375,0,10
GCF_000016545.1,Caldicellulosiruptor saccharolyticus,Caldicellulosiruptor,0,2928.8599446614585,0.6666666666666666,3
GCF_000016645.1,Flavobacterium johnsoniae,Flavobacterium,0,2983.5604329427083,0,15
GCF_000016745.1,Geotalea uraniireducens,Geotalea,2,3079.640380859375,0,1
GCF_001865575.2,Paraburkholderia sprentiae,Paraburkholderia,0,3026.7666015625,0,21
GCF_000016845.1,Brucella ovis,Brucella,3,2942.90380859375,0,3
GCF_000016905.1,Thermosipho melanesiensis,Thermosipho,4,3101.43896484375,0,6
GCF_000016985.1,Alkaliphilus metalliredigens,Alkaliphilus,10,3028.116455078125,0,45
GCF_001866075.4,Anaerobacillus isosaccharinicus,Anaerobacillus,0,3011.172940340909,0,55
GCF_000017245.1,Actinobacillus succinogenes,Actinobacillus,0,3049.838427734375,0,15
GCF_000017305.1,Kineococcus radiotolerans,Kineococcus,4,3010.28125,0,6
GCF_001866515.1,Massilia timonae,Massilia,0,2985.2757626488096,0,21
GCF_001870205.1,Vagococcus teuberi,Vagococcus,0,3064.330354817708,0.3333333333333333,15
GCF_001874645.1,Pseudomonas frederiksbergensis,Pseudomonas,0,3043.1600167410716,0,21
GCF_001878675.1,Virgibacillus halodenitrificans,Virgibacillus,0,3071.897382463728,0,28
GCF_001880225.1,Francisella frigiditurris,Francisella,0,3047.933349609375,0,3
GCF_000017425.1,Bacillus cytotoxicus,Bacillus,0,3054.09423828125,0,78
GCF_001886435.1,Alteromonas mediterranea,Alteromonas,0,3038.02490234375,0,10
GCF_000017545.1,Fervidobacterium nodosum,Fervidobacterium,2,2988.482666015625,0,1
GCF_001887595.1,Luteibacter rhizovicinus,Luteibacter,0,3061.80517578125,0,1
GCF_000017685.1,Leptospira biflexa,Leptospira,0,2964.748291015625,0,1
GCF_000017805.1,Roseiflexus castenholzii,Roseiflexus,0,2909.30712890625,0,1
GCF_001887715.1,Syntrophotalea acetylenica,Syntrophotalea,0,3083.603759765625,0,3
GCF_001887775.1,Syntrophotalea acetylenivorans,Syntrophotalea,2,2882.626220703125,10.666666666666666,3
GCF_001888185.1,Phaeobacter porticola,Phaeobacter,0,2905.251708984375,0,6
GCF_000017885.4,Bacillus pumilus,Bacillus,0,3060.7253069196427,0,21
GCF_000018045.1,Citrobacter koseri,Citrobacter,0,3016.8314267113096,0,21
GCF_000018105.1,Acaryochloris marina,Acaryochloris,0,2978.57421875,0,1
GCF_000018145.1,Dinoroseobacter shibae,Dinoroseobacter,0,2905.251708984375,0,1
GCF_001888925.1,Lactobacillus delbrueckii,Lactobacillus,9,3055.5001302083333,0.6,45
GCF_001889005.1,Christiangramia salexigens,Christiangramia,3,3032.079833984375,0,3
GCF_001889025.1,Sphingorhabdus lutea,Sphingorhabdus,0,2954.7939453125,0,1
GCF_001889105.1,Sinorhizobium americanum,Sinorhizobium,0,2942.90380859375,0,3
GCF_001889165.1,Bacillus weihaiensis,Bacillus,0,2946.4935244605654,0,21
GCF_001889445.1,Granulibacter bethesdensis,Granulibacter,0,2958.75732421875,0,3
GCF_001889605.1,Aquibium oceanicum,Aquibium,0,2910.94140625,1,1
GCF_001890385.1,Tardibacter chloracetimidivorans,Tardibacter,0,2950.83056640625,0,1
GCF_001890765.1,Spirulina major,Spirulina,0,2926.968505859375,0,1
GCF_001891125.1,Leuconostoc suionicum,Leuconostoc,0,3073.6953125,0,6
GCF_001895085.1,Mariprofundus micogutta,Mariprofundus,2,3045.95166015625,0,1
GCF_000018285.1,Shewanella pealeana,Shewanella,0,3054.97607421875,0.18181818181818182,55
GCF_001895265.1,Francisella uliginis,Francisella,0,3040.006591796875,0,3
GCF_001908725.1,Xanthomonas vesicatoria,Xanthomonas,2,3065.7685546875,0,1
GCF_001913155.1,Maribacter hydrothermalis,Maribacter,0,3016.91748046875,0,3
GCF_001922305.1,Thauera chlorobenzoica,Thauera,0,3049.9150390625,0,6
GCF_001922385.1,Sphingomonas koreensis,Sphingomonas,0,2946.8671875,0,1
GCF_001931655.1,Acidithiobacillus albertensis,Acidithiobacillus,2,3043.969970703125,0,1
GCF_000018325.1,Alkaliphilus oremlandii,Alkaliphilus,8,2994.439208984375,0,28
GCF_001932615.1,Weissella jogaejeotgali,Weissella,0,3077.1235188802084,0.3333333333333333,15
GCF_000018525.1,Brucella canis,Brucella,3,2942.90380859375,0,3
GCF_000018605.1,Petrotoga mobilis,Petrotoga,2,2988.52880859375,0,1
GCF_001936175.1,Methylobacterium phyllosphaerae,Methylobacterium,0,2898.223103841146,0,6
GCF_001940235.1,Hornefia porci,Hornefia,3,2993.8286946614585,0.6666666666666666,3
GCF_001940285.1,Peptoniphilus porci,Peptoniphilus,3,3001.1559244791665,0,3
GCF_001940525.2,Thioclava nitratireducens,Thioclava,0,2911.19677734375,0,3
GCF_001941345.1,Corynebacterium stationis,Corynebacterium,5,2972.5029052734376,0,10
GCF_001941425.1,Corynebacterium ammoniagenes,Corynebacterium,0,2982.597696940104,0,6
GCF_000018685.1,Lachnoclostridium phytofermentans,Lachnoclostridium,2,2985.2205984933034,3,28
GCF_000018785.1,Acholeplasma laidlawii,Acholeplasma,0,2980.555908203125,0,1
GCF_000018865.1,Chloroflexus aurantiacus,Chloroflexus,2,2846.2366536458335,0.6666666666666666,3
GCF_001941445.1,Corynebacterium aquilae,Corynebacterium,0,3020.8810221354165,0,6
GCF_001941465.1,Corynebacterium flavescens,Corynebacterium,1,3013.842919921875,0,10
GCF_001941505.1,Corynebacterium sphenisci,Corynebacterium,0,2970.231689453125,0,3
GCF_001941585.1,Legionella pneumophila,Legionella,0,3059.823486328125,0,3
GCF_001941625.1,Actinoalloteichus fjordicus,Actinoalloteichus,0,3004.336181640625,0,3
GCF_000019045.1,Anoxybacillus flavithermus,Anoxybacillus,1,3045.3830217633927,0.75,28
GCF_000019085.1,Thermoanaerobacter pseudethanolicus,Thermoanaerobacter,2,2349.633056640625,2.5,6
GCF_001941825.1,Massilia putida,Massilia,0,2997.0738234747023,0,21
GCF_001941945.1,Roseomonas gilardii,Roseomonas,0,2950.83056640625,0,10
GCF_001941975.2,Sporomusa sphaeroides,Sporomusa,0,3031.185009765625,0,15
GCF_001942495.1,Moorena bouillonii,Moorena,0,2952.812255859375,0,1
GCF_001951175.1,Companilactobacillus crustorum,Companilactobacillus,0,3105.40234375,0,6
GCF_001952075.1,Bartonella apis,Bartonella,0,2946.8671875,0,1
GCF_001955695.1,Rhodoferax koreensis,Rhodoferax,3,3041.98828125,0,3
GCF_001955715.1,Rhodoferax saidenbachensis,Rhodoferax,2,3041.98828125,0,1
GCF_000019185.1,Shewanella halifaxensis,Shewanella,0,3049.0896484375,0,45
GCF_001955735.1,Rhodoferax antarcticus,Rhodoferax,0,3040.69775390625,0,3
GCF_000019225.1,Cellvibrio japonicus,Cellvibrio,0,3040.006591796875,0,3
GCF_000019345.1,Ureaplasma parvum,Ureaplasma,0,2998.43701171875,0,1
GCF_000019405.1,Histophilus somni,Histophilus,0,3041.269140625,0,10
GCF_001956695.1,Poseidonibacter parvus,Poseidonibacter,6,2967.43896484375,0,15
GCF_001956985.1,Paludisphaera borealis,Paludisphaera,3,3014.24462890625,0,3
GCF_001975665.1,Polaribacter reichenbachii,Polaribacter,3,3012.262939453125,0,3
GCF_001975705.1,Salipiger abyssi,Salipiger,0,2901.288330078125,0,1
GCF_000019525.1,Shewanella woodyi,Shewanella,1,3014.7605416434153,0,28
GCF_001984825.2,Enterobacter chengduensis,Enterobacter,0,3055.860107421875,0,28
GCF_001989575.1,Abyssicoccus albus,Abyssicoccus,0,3065.7916259765625,0,6
GCF_000019725.1,Methylobacterium radiotolerans,Methylobacterium,0,2922.653662109375,0.5333333333333333,15
GCF_000019845.1,Beijerinckia indica,Beijerinckia,0,2941.61328125,0,3
GCF_001991075.2,Clostridium baratii,Clostridium,0,2988.563162667411,0.25,28
GCF_001997295.1,Tessaracoccus flavus,Tessaracoccus,2,2994.519775390625,0,1
GCF_001997385.1,Sedimentisphaera cyanobacteriorum,Sedimentisphaera,0,3047.933349609375,0,3
GCF_000019905.1,Exiguobacterium artemiae,Exiguobacterium,0,3082.3592868381074,0,36
GCF_001998325.1,Nocardiopsis sinuspersici,Nocardiopsis,5,3036.043212890625,0,10
GCF_000020005.1,Natranaerobius thermophilus,Natranaerobius,0,3038.7620849609375,0,6
GCF_000020045.1,Paraburkholderia phymatum,Paraburkholderia,0,3025.6554036458333,0,15
GCF_000020125.1,Paraburkholderia phytofirmans,Paraburkholderia,0,3009.6728515625,0,15
GCF_001999225.1,Pseudoalteromonas aliena,Pseudoalteromonas,0,3019.8026204427083,2.3333333333333335,45
GCF_001999245.1,Roseibium algicola,Roseibium,0,2938.9404296875,0,3
GCF_000020365.1,Desulforapulum autotrophicum,Desulforapulum,0,3044.4112955729165,0,15
GCF_001999945.1,Microbulbifer agarilyticus,Microbulbifer,0,3034.752685546875,0,3
GCF_000020385.1,Trichlorobacter lovleyi,Trichlorobacter,0,3087.567138671875,0,1
GCF_000020465.1,Chlorobium limicola,Chlorobium,2,2974.61083984375,0,1
GCF_000020685.1,Deinococcus deserti,Deinococcus,4,2984.519287109375,0,6
GCF_002005145.1,Desulforamulus ferrireducens,Desulforamulus,0,3061.5533447265625,0.8,10
GCF_002005165.1,Novibacillus thermophilus,Novibacillus,0,3038.8451334635415,0,3
GCF_000020725.1,Citrifermentans bemidjiense,Citrifermentans,0,3019.888671875,0,6
GCF_000020945.1,Coprothermobacter proteolyticus,Coprothermobacter,2,2980.92333984375,0,1
GCF_000020965.1,Dictyoglomus thermophilum,Dictyoglomus,1,3051.76904296875,0,1
GCF_000021045.1,Azotobacter vinelandii,Azotobacter,0,3043.969970703125,0,15
GCF_000021285.1,Thermosipho africanus,Thermosipho,3,3071.9895833333335,0.6666666666666666,3
GCF_000021325.1,Gluconacetobacter diazotrophicus,Gluconacetobacter,4,2958.75732421875,0,6
GCF_000021485.1,Acidithiobacillus ferrooxidans,Acidithiobacillus,2,3043.969970703125,0,1
GCF_000021545.1,Sulfurihydrogenibium azorense,Sulfurihydrogenibium,0,2990.648681640625,2,1
GCF_000021685.1,Thermomicrobium roseum,Thermomicrobium,2,3008.345703125,0,1
GCF_000021705.1,Candidatus Williamhamiltonella defendens,Candidatus,0,3053.97021484375,0,3
GCF_002005305.1,Shewanella psychrophila,Shewanella,0,3037.6295572916665,0,36
GCF_000021725.1,Nautilia profundicola,Nautilia,0,2984.519287109375,0,6
GCF_000021745.1,Methylocella silvestris,Methylocella,0,2946.8671875,0,1
GCF_002005465.1,Neoasaia chiangmaiensis,Neoasaia,4,2950.83056640625,0,6
GCF_000021765.1,Thauera aminoaromatica,Thauera,0,3049.9150390625,0,6
GCF_000021805.1,Rippkaea orientalis,Rippkaea,2,2954.7939453125,0,1
GCF_000021825.1,Gloeothece citriformis,Gloeothece,3,2944.2861328125,0,3
GCF_000021865.1,Rhodobacter capsulatus,Rhodobacter,0,2907.2333984375,0,6
GCF_000021925.1,Desulfitobacterium hafniense,Desulfitobacterium,4,2711.0770751953123,0,10
GCF_000021945.1,Chloroflexus aggregans,Chloroflexus,0,2881.8392740885415,1.3333333333333333,3
GCF_000022005.1,Caulobacter vibrioides,Caulobacter,0,2925.068603515625,0,1
GCF_000022025.1,Pseudarthrobacter chlorophenolicus,Pseudarthrobacter,0,3016.226318359375,0,10
GCF_002006355.2,Clostridium felsineum,Clostridium,0,2984.519287109375,0,55
GCF_000022065.1,Ruminiclostridium cellulolyticum,Ruminiclostridium,0,3181.8717128208705,0,28
GCF_000022085.1,Methylobacterium nodulans,Methylobacterium,0,2940.922119140625,0,21
GCF_002009235.1,Planococcus faecalis,Planococcus,6,3027.0796915690103,0.4444444444444444,36
GCF_000022145.1,Anaeromyxobacter dehalogenans,Anaeromyxobacter,0,3077.70458984375,0,1
GCF_000022265.1,Geotalea daltonii,Geotalea,0,3083.603759765625,0,1
GCF_002009335.2,Desulfococcus multivorans,Desulfococcus,0,3092.2216796875,0,3
GCF_000022305.1,Acidovorax ebreus,Acidovorax,0,3030.09814453125,0,3
GCF_000022325.1,Caldicellulosiruptor bescii,Caldicellulosiruptor,0,3035.53564453125,0,3
GCF_002013915.1,Mucilaginibacter pedocola,Mucilaginibacter,4,3016.226318359375,0,6
GCF_000022745.1,Brucella microti,Brucella,3,2942.90380859375,0,3
GCF_000022905.1,Corynebacterium aurimucosum,Corynebacterium,0,3008.299560546875,0,3
GCF_002017865.1,Rhodoferax fermentans,Rhodoferax,0,3041.98828125,0,6
GCF_000022965.1,Bifidobacterium animalis,Bifidobacterium,1,3040.933837890625,0.5,6
GCF_002019595.1,Priestia abyssalis,Priestia,0,3027.05615234375,2.3333333333333335,15
GCF_000023065.1,Tolumonas auensis,Tolumonas,0,2966.9654628208705,1.0357142857142858,28
GCF_000023105.1,Beutenbergia cavernae,Beutenbergia,2,3030.09814453125,0,1
GCF_000023125.1,Dyadobacter fermentans,Dyadobacter,0,2958.9188232421875,3.5,6
GCF_000023245.1,Actinosynnema mirum,Actinosynnema,0,2995.98974609375,0,10
GCF_000023285.1,Capnocytophaga ochracea,Capnocytophaga,4,3004.336181640625,0,6
GCF_000023325.1,Kosmotoga olearia,Kosmotoga,0,3042.034423828125,0,1
GCF_000023445.1,Maridesulfovibrio salexigens,Maridesulfovibrio,0,3081.6220703125,0,10
GCF_000023465.1,Zunongwangia profunda,Zunongwangia,3,3018.8993326822915,0,3
GCF_000023545.1,Musicola paradisiaca,Musicola,0,3054.0891229538693,0,21
GCF_000023565.1,Dickeya chrysanthemi,Dickeya,0,3006.323776971726,0,21
GCF_000023705.1,Methylotenera mobilis,Methylotenera,0,3047.933349609375,0,1
GCF_000023745.1,Methylovorus glucosotrophus,Methylovorus,0,3061.80517578125,0,1
GCF_000023865.1,Saccharomonospora viridis,Saccharomonospora,0,3020.189697265625,0,3
GCF_000023905.1,Leptotrichia buccalis,Leptotrichia,5,2916.0255859375,2,10
GCF_000024025.1,Catenulispora acidiphila,Catenulispora,0,3010.28125,0,3
GCF_000024085.1,Kangiella koreensis,Kangiella,0,3049.9150390625,0,1
GCF_000024165.1,Candidatus Accumulibacter phosphatis,Candidatus,0,3047.933349609375,0,1
GCF_002019605.1,Alkalihalobacterium alkalinitrilicum,Alkalihalobacterium,0,2999.600278966567,0.23529411764705882,136
GCF_002019635.1,Metabacillus halosaccharovorans,Metabacillus,0,3055.201346261161,0,21
GCF_000024205.1,Desulfofarcimen acetoxidans,Desulfofarcimen,0,2937.2370442708334,1.6666666666666667,45
GCF_000024285.1,Alicyclobacillus acidocaldarius,Alicyclobacillus,0,3012.6590657552083,0,15
GCF_000024325.1,Desulfohalobium retbaense,Desulfohalobium,2,3081.6220703125,0,1
GCF_000024345.1,Kribbella flavida,Kribbella,0,2948.696044921875,0,1
GCF_000024385.1,Thermomonospora curvata,Thermomonospora,4,3023.12158203125,0.5,6
GCF_000024405.1,Sebaldella termitidis,Sebaldella,0,3000.372802734375,0,6
GCF_000024525.1,Spirosoma linguale,Spirosoma,4,2986.5009765625,0,6
GCF_000024545.1,Stackebrandtia nassauensis,Stackebrandtia,0,3012.262939453125,0,1
GCF_000024565.1,Streptobacillus moniliformis,Streptobacillus,0,3008.299560546875,0,10
GCF_000024605.1,Ammonifex degensii,Ammonifex,0,3131.164306640625,0,1
GCF_000024785.1,Gordonia bronchialis,Gordonia,0,3010.327392578125,0,1
GCF_000024805.1,Haliangium ochraceum,Haliangium,2,3083.603759765625,0,1
GCF_000024865.1,Streptosporangium roseum,Streptosporangium,0,3022.17138671875,0,15
GCF_000024885.1,Sulfurospirillum deleyianum,Sulfurospirillum,0,2985.21044921875,0,3
GCF_000024925.1,Sanguibacter keddieii,Sanguibacter,0,3010.995361328125,0,6
GCF_000024965.1,Xylanimonas cellulosilytica,Xylanimonas,2,3020.189697265625,0,1
GCF_000025065.1,Dickeya parazeae,Dickeya,0,3055.5901227678573,0,21
GCF_002019645.1,Litchfieldia alkalitelluris,Litchfieldia,0,3001.3986607142856,2.533333333333333,105
GCF_000025305.1,Acidaminococcus fermentans,Acidaminococcus,0,3063.5192708333334,0,15
GCF_000025345.1,Geodermatophilus obscurus,Geodermatophilus,3,3018.2080078125,0,3
GCF_000025485.1,Allochromatium vinosum,Allochromatium,0,3017.462646484375,0.6666666666666666,3
GCF_000025645.1,Thermoanaerobacter italicus,Thermoanaerobacter,0,3105.125,1,6
GCF_000025705.1,Sideroxydans lithotrophicus,Sideroxydans,0,3051.896728515625,0,1
GCF_000025725.1,Denitrovibrio acetiphilus,Denitrovibrio,0,3067.796142578125,0,1
GCF_000025845.1,Mycoplasma crocodyli,Mycoplasma,0,2980.555908203125,0,1
GCF_000025885.1,Aminobacterium colombiense,Aminobacterium,0,3036.043212890625,0,3
GCF_000025905.1,Coraliomargarita akajimensis,Coraliomargarita,0,3079.640380859375,0,1
