accession_number,species_name,genus,resistance_status,mean_alig_score,mean_core_dist,n_pairs
GCF_000007085.1,Caldanaerobacter subterraneus,Caldanaerobacter,0,2409.2872924804688,7,6
GCF_000007125.1,Brucella melitensis,Brucella,0,2942.90380859375,0,3
GCF_000007505.1,Brucella suis,Brucella,0,2942.90380859375,0,3
GCF_045348655.1,Streptomyces solicamelliae,Streptomyces,0,2997.0695963541666,0,15
GCF_000600105.1,Lysinibacillus varians,Lysinibacillus,0,3057.596072048611,0,45
GCF_014203805.1,Lipingzhangella halophila,Lipingzhangella,0,2478.9697265625,14.666666666666666,15
GCF_006716765.1,Actinomadura hallensis,Actinomadura,0,2429.470841471354,14.666666666666666,15
GCF_014203835.1,Micromonospora polyrhachis,Micromonospora,0,3001.06396484375,0,3
GCF_002327205.1,Clostridium chauvoei,Clostridium,0,2993.5980834960938,0,36
GCF_020406815.2,Dickeya oryzae,Dickeya,0,3055.860107421875,0,21
GCF_002335445.1,Lebetimonas natsushimae,Lebetimonas,0,2986.5009765625,0,1
GCF_006716785.1,Thermopolyspora flexuosa,Thermopolyspora,0,3026.24951171875,0,6
GCF_020410745.1,Kaistella polysaccharea,Kaistella,0,3006.31787109375,0,1
GCF_000007625.1,Clostridium tetani,Clostridium,0,2977.9011067708334,0.3333333333333333,15
GCF_006716865.1,Roseinatronobacter monicus,Roseinatronobacter,0,2907.2333984375,0,3
GCF_045519255.1,Streptomyces okerensis,Streptomyces,0,3023.5078125,0,15
GCF_006716885.1,Ornithinimicrobium humiphilum,Ornithinimicrobium,0,3012.262939453125,0,3
GCF_006717045.1,Pseudonocardia cypriaca,Pseudonocardia,0,2998.48291015625,0,1
GCF_020410765.1,Streptomyces marincola,Streptomyces,0,3040.817724609375,0,10
GCF_000007745.1,Mannheimia succiniciproducens,Mannheimia,0,3043.1521158854166,0.3333333333333333,15
GCF_006717075.1,Haloactinospora alba,Haloactinospora,0,3049.601318359375,0,10
GCF_006717095.1,Blastococcus colisei,Blastococcus,0,3008.99072265625,0,3
GCF_006717145.1,Humibacillus xanthopallidus,Humibacillus,0,3026.134765625,0,1
GCF_006738645.1,Stella humosa,Stella,0,2841.264892578125,5,1
GCF_045677275.1,Dickeya ananatis,Dickeya,0,2965.8881719680057,0,21
GCF_006739385.1,Cutibacterium acnes,Cutibacterium,0,3022.17138671875,0,3
GCF_045689235.1,Congregibacter variabilis,Congregibacter,0,3040.006591796875,0,1
GCF_000007805.1,Pseudomonas syringae group genomosp. 3,Pseudomonas,0,3049.9150390625,0,10
GCF_045689245.1,Congregibacter brevis,Congregibacter,0,3040.006591796875,0,1
GCF_000007985.2,Geobacter sulfurreducens,Geobacter,0,3083.603759765625,0,1
GCF_045689595.1,Humidisolicoccus flavus,Humidisolicoccus,0,3014.24462890625,0,1
GCF_002335745.1,Evansella halocellulosilytica,Evansella,0,2855.8612932477677,0,28
GCF_030123245.1,Lysinibacillus pakistanensis,Lysinibacillus,0,3075.677001953125,0,55
GCF_000008185.1,Treponema denticola,Treponema,0,3053.92431640625,0,1
GCF_000612505.1,Paenibacillus sabinae,Paenibacillus,0,2925.0251193576387,0,36
GCF_000008305.1,Mesoplasma florum,Mesoplasma,0,3022.17138671875,0,1
GCF_000612685.1,Castellaniella defragrans,Castellaniella,0,3049.9150390625,0,1
GCF_000008325.1,Methylococcus capsulatus,Methylococcus,0,3041.98828125,0,1
GCF_014203855.1,Kitasatospora kifunensis,Kitasatospora,0,2972.0691528320312,0,36
GCF_014203955.1,Sphingobium lignivorans,Sphingobium,0,2946.8671875,0,1
GCF_045689615.1,Aromatoleum evansii,Aromatoleum,0,3043.969970703125,0,6
GCF_045689905.1,Pengzhenrongella phosphoraccumulans,Pengzhenrongella,0,3017.6088053385415,0.6666666666666666,3
GCF_014204715.1,Streptomonospora salina,Streptomonospora,0,3038.07080078125,0,10
GCF_014204735.1,Mobiluncus mulieris,Mobiluncus,0,3047.933349609375,0,1
GCF_000612865.1,Oceanobacillus picturae,Oceanobacillus,0,3095.254150390625,0,15
GCF_006740045.1,Comamonas terrigena,Comamonas,0,2991.3788132440477,1.7142857142857142,21
GCF_014204755.1,Brachybacterium aquaticum,Brachybacterium,0,3001.755126953125,0,3
GCF_020423125.1,Aeromonas media,Aeromonas,0,3061.80517578125,0,45
GCF_014204795.1,Nonomuraea jabiensis,Nonomuraea,0,3007.5345703125,0.6,10
GCF_014204815.1,Micrococcus flavus,Micrococcus,0,3018.2080078125,0,1
GCF_014204835.1,Microbacterium marinum,Microbacterium,0,3018.2080078125,0,1
GCF_000613045.3,Photobacterium kishitanii,Photobacterium,0,3039.1735026041665,0,15
GCF_000613185.1,Mycolicibacterium cosmeticum,Mycolicibacterium,0,3004.382080078125,0,1
GCF_020424085.1,Mycetocola spongiae,Mycetocola,0,3012.262939453125,0,6
GCF_006740705.1,Salicibibacter halophilus,Salicibibacter,0,2871.336637369792,0.5333333333333333,15
GCF_020447175.2,Methylophaga pinxianii,Methylophaga,0,3038.7162272135415,0,3
GCF_014204865.1,Amycolatopsis jiangsuensis,Amycolatopsis,0,2986.6387939453125,0,6
GCF_020447305.1,Abyssibius alkaniclasticus,Abyssibius,0,3008.299560546875,0,1
GCF_000620065.1,Meiothermus cerbereus,Meiothermus,0,2950.83056640625,0,6
GCF_006740765.1,Leisingera aquaemixtae,Leisingera,0,2901.288330078125,0,6
GCF_000620305.1,Desulfitibacter alkalitolerans,Desulfitibacter,0,3569.11767578125,0,3
GCF_014204895.1,Paractinoplanes abujensis,Paractinoplanes,0,3010.28125,0,6
GCF_045689965.1,Desulfosporosinus paludis,Desulfosporosinus,0,3073.210842556424,0,36
GCF_000620805.1,Exiguobacterium undae,Exiguobacterium,0,2623.720947265625,0,3
GCF_006770265.1,Pseudolactococcus carnosus,Pseudolactococcus,0,3069.73193359375,0,6
GCF_020463795.1,Echinicola marina,Echinicola,0,2992.17822265625,0,10
GCF_045689975.1,Dietzia kunjamensis,Dietzia,0,3006.31787109375,0,3
GCF_020510245.1,Oenococcus oeni,Oenococcus,0,3085.457763671875,0,1
GCF_014204915.1,Crossiella cryophila,Crossiella,0,3008.299560546875,0,6
GCF_014204935.1,Conyzicola lurida,Conyzicola,0,3014.24462890625,0,1
GCF_014204945.1,Allocatelliglobosispora scoriae,Allocatelliglobosispora,0,3005.02734375,0,3
GCF_020510525.1,Quatrionicoccus australiensis,Quatrionicoccus,0,3047.933349609375,0,6
GCF_014204975.1,Jiangella mangrovi,Jiangella,0,3010.28125,0,1
GCF_030127205.1,Metabacillus hrfriensis,Metabacillus,0,3045.354159268466,0,55
GCF_006770285.1,Pseudolactococcus paracarnosus,Pseudolactococcus,0,3069.73193359375,0,10
GCF_020510565.1,Ferribacterium limneticum,Ferribacterium,0,3047.933349609375,0,3
GCF_000008445.1,Bacillus anthracis,Bacillus,0,3052.99775390625,0.18181818181818182,55
GCF_006783905.1,Microbacterium kyungheense,Microbacterium,0,3016.226318359375,0,3
GCF_006788875.1,Paramicrobacterium agarici,Paramicrobacterium,0,3026.134765625,0,1
GCF_000620845.1,Exiguobacterium marinum,Exiguobacterium,0,3081.1886067708333,0,15
GCF_006788895.1,Rhodoglobus vestalii,Rhodoglobus,0,3043.969970703125,0,1
GCF_000621125.1,Maribacter antarcticus,Maribacter,0,3026.134765625,0,1
GCF_000008465.1,Idiomarina loihiensis,Idiomarina,0,3030.7079264322915,0.5,6
GCF_000008625.1,Aquifex aeolicus,Aquifex,0,3139.091064453125,0,1
GCF_030161395.1,Thalassotalea insulae,Thalassotalea,0,3053.87841796875,0,10
GCF_000008725.1,Chlamydia trachomatis,Chlamydia,0,3071.713623046875,0,1
GCF_000621145.1,Desulfobulbus elongatus,Desulfobulbus,0,3087.567138671875,0,6
GCF_030161555.1,Luteimicrobium album,Luteimicrobium,0,3010.28125,0,3
GCF_000622325.1,Sulfitobacter geojensis,Sulfitobacter,0,2901.288330078125,0,1
GCF_030161575.1,Arenivirga flava,Arenivirga,0,3020.189697265625,0,1
GCF_045690365.1,Streptomyces sirii,Streptomyces,0,3025.5949358258927,0,21
GCF_014204985.1,Streptosporangium becharense,Streptosporangium,0,3015.9867024739583,0,15
GCF_000622365.1,Sulfitobacter noctilucae,Sulfitobacter,0,2893.361572265625,0,1
GCF_045782605.1,Arsenicicoccus dermatophilus,Arsenicicoccus,0,3012.262939453125,0,1
GCF_000622385.1,Sulfitobacter noctilucicola,Sulfitobacter,0,2897.324951171875,0,1
GCF_000622405.1,Sulfitobacter donghicola,Sulfitobacter,0,2899.306640625,0,1
GCF_030161595.1,Litorihabitans aurantiacus,Litorihabitans,0,3019.59033203125,0,3
GCF_000622425.1,Sulfitobacter guttiformis,Sulfitobacter,0,2899.306640625,0,1
GCF_045784255.1,Deinococcus altitudinis,Deinococcus,0,2980.555908203125,0,3
GCF_014205015.1,Saccharothrix ecbatanensis,Saccharothrix,0,3006.31787109375,0,6
GCF_006788935.1,Streptomyces cavourensis,Streptomyces,0,3028.116455078125,0,15
GCF_045784305.1,Deinococcus radiomollis,Deinococcus,0,2978.57421875,0,3
GCF_006874765.1,Leptospira weilii,Leptospira,0,2974.702880859375,0,1
GCF_002335815.1,Neobacillus soli,Neobacillus,0,2966.87358210637,0,78
GCF_045788535.1,Allotamlana fucoidanivorans,Allotamlana,0,2988.3544921875,0,1
GCF_030161615.1,Demequina litorisediminis,Demequina,0,235.90143330891928,65.83333333333333,6
GCF_020511155.1,Shewanella glacialimarina,Shewanella,0,3003.2620675223216,0,21
GCF_000626675.1,Corynebacterium glyciniphilum,Corynebacterium,0,3028.116455078125,0,6
GCF_030161635.1,Mobilicoccus caccae,Mobilicoccus,0,3010.28125,0,1
GCF_002343915.1,Nannocystis exedens,Nannocystis,0,3014.336669921875,0,3
GCF_030167915.1,Aquabacterium humicola,Aquabacterium,0,3030.09814453125,0,1
GCF_045801155.1,Leuconostoc falkenbergense,Leuconostoc,0,3073.6953125,0,6
GCF_000008865.2,Escherichia coli,Escherichia,0,3019.1025390625,0,21
GCF_000009085.1,Campylobacter jejuni,Campylobacter,0,2998.39111328125,0,3
GCF_014205055.1,Streptomyces luteogriseus,Streptomyces,0,3003.137451171875,0,15
GCF_006965445.1,Lactococcus protaetiae,Lactococcus,0,3026.561979166667,0.5333333333333333,15
GCF_000009265.1,Rhizobium johnstonii,Rhizobium,0,2934.97705078125,0,3
GCF_000009305.1,Helicobacter acinonychis,Helicobacter,0,2978.57421875,0,1
GCF_000009365.1,Alcanivorax borkumensis,Alcanivorax,0,3055.860107421875,0,3
GCF_014205085.1,Actinomadura livida,Actinomadura,0,3038.02490234375,0,10
GCF_002352765.1,Alteribacter populi,Alteribacter,0,2932.691580636161,1.7142857142857142,21
GCF_014205115.1,Micrococcus endophyticus,Micrococcus,0,3012.9542643229165,0,3
GCF_045822005.1,Streptomyces stoeckheimensis,Streptomyces,0,3022.17138671875,0,21
GCF_014205135.1,Kribbella italica,Kribbella,0,3008.299560546875,0,3
GCF_002354875.1,Actinosynnema pretiosum,Actinosynnema,0,2883.74150390625,0,10
GCF_000009765.2,Streptomyces avermitilis,Streptomyces,0,3024.153076171875,0,15
GCF_014205155.1,Amycolatopsis umgeniensis,Amycolatopsis,0,3002.3544921875,0,6
GCF_006965545.2,Paenalkalicoccus suaedae,Paenalkalicoccus,0,3087.200613839286,0.2857142857142857,21
GCF_014205175.1,Micrococcus cohnii,Micrococcus,0,3020.189697265625,0,1
GCF_000632475.1,Azospirillum argentinense,Azospirillum,0,2884.2788357204863,0,36
GCF_000633935.1,Ectothiorhodospira haloalkaliphila,Ectothiorhodospira,0,3043.969970703125,0,1
GCF_006968745.1,Brasilonema sennae,Brasilonema,0,2949.5402018229165,0,3
GCF_000661915.1,Stutzerimonas decontaminans,Stutzerimonas,0,3045.95166015625,0,6
GCF_000661955.1,Stenotrophomonas rhizophila,Stenotrophomonas,0,3065.7685546875,0,3
GCF_045830615.1,Pseudomonas helleri,Pseudomonas,0,3034.6305803571427,0,21
GCF_002355155.1,Corynebacterium suranareeae,Corynebacterium,0,2942.801692708333,0.3333333333333333,15
GCF_000685015.1,Paraburkholderia bannensis,Paraburkholderia,0,3038.02490234375,0,1
GCF_006974105.1,Rhodoferax aquaticus,Rhodoferax,0,3045.95166015625,0,10
GCF_006974145.1,Changchengzhania lutea,Changchengzhania,0,3012.262939453125,0,1
GCF_014205215.1,Actinoplanes lobatus,Actinoplanes,0,3003.69091796875,0,15
GCF_007000325.2,Rhizobium rhododendri,Rhizobium,0,2934.97705078125,0,6
GCF_020519665.1,Bacillus shivajii,Bacillus,0,3075.890536221591,0,55
GCF_002355215.1,Streptococcus troglodytae,Streptococcus,0,3070.994482421875,0.4,10
GCF_045833485.1,Arthrobacter nitrophenolicus,Arthrobacter,0,2979.326953125,0,10
GCF_002355275.1,Rhizorhabdus dicambivorans,Rhizorhabdus,0,2946.8671875,0,1
